x,MSE_PINN,MSE_MLE
100000,0.09785344,0.580685958
200000,0.026761171, 0.20210207185874926
300000, 0.013691759561164456, 0.1107523278440535
400000,0.007884413,0.06614313
500000,0.005562823,0.051688308
600000,0.004199407,0.037934718
700000,0.002754675, 0.029636653278879724
800000,0.002220132, 0.024008044235434976
900000,0.00165884, 0.021338984669310362
1000000,0.001494913,0.016615947
2000000,0.000371574,0.005291689
3000000,0.000182106,0.003142509
4000000,0.00011545,0.002017671
5000000,6.85836E-05,0.001440954
6000000,4.73E-05,0.001070384
7000000,3.90535E-05,0.000855778
8000000,3.08343E-05,0.000631033
9000000,2.37167E-05,0.000577267
10000000,2.00912E-05,0.00046903